Type,Built,Status,Company,Group Company,Operator,Builder,Flag State,SOx Scrubber Status,Power Type,Current Global Zone,Current National Waters,Name,GT,Dwt,MMSI (Maritime Mobile Service Identity),IMO Number,Speed (knots),Engine Derived Total Main Engine Mechanical kW
Bulk Carrier,2020,In Service,Golden Ocean Group,Fredriksen Group,Golden Ocean Group,Shanhaiguan SB,Marshall Is.,Fitted,Diesel 2-Stroke,West Coast North America,Canada,Golden Fortune,"44,094","81,210",538008727,9852523,14.30,"9,933"
Fully Cellular Container,2014,In Service,CMA CGM,CMA CGM,CMA CGM,New Times SB,Malta,Fitted,Diesel 2-Stroke,Indian Subcontinent,,CMA CGM Litani,"95,793","112,063",256033000,9705055,22.00,"47,430"
Ore Carrier,2018,In Service,VLOC Holdings,ICBC,Vale,Yangzi Xinfu SB,Hong Kong,Fitted,Diesel 2-Stroke,East Coast Africa,,Ore Tangshan,"203,322","399,438",477191300,9815202,14.50,"24,200"
Tanker,2006,Idle,Atos Remote,Atos Remote,,Universal SB (Tsu),Barbados,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Turkey,Peta Lumina,"77,636","146,427",314909000,9296391,15.30,"17,990"
Chemical Parcel Tanker,2017,In Service,Inventor Chemical,Hansa Tankers,Uni-Tankers,Fukuoka SB (Fukuoka),Cayman Islands,Fitted,Diesel 2-Stroke,East Coast Africa,Reunion,Swan Atlantic,"12,082","19,998",319113500,9790464,15.10,"4,440"
Fully Cellular Container,2010,In Service,OOCL,China COSCO Shipping,OOCL,Samsung HI,Hong Kong,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Turkey,OOCL Seoul,"89,097","99,518",477617700,9417244,26.00,"68,490"
Tanker,2012,In Service,Maran Tankers Mgmt,Angelicoussis Group,Maran Tankers Mgmt,Daewoo (DSME),Greece,Fitted,Diesel 2-Stroke,East Coast Africa,,Maran Antares,"161,593","317,052",241633000,9581203,16.70,"31,620"
Tanker,2017,In Service,Global Energy Mtime,Global Energy Mtime,Koch Shipping,JMU Ariake Shipyard,Panama,Fitted,Diesel 2-Stroke,South East Asia,,Gem No. 5,"156,501","302,650",351551000,9793741,15.80,"24,330"
Fully Cellular Container,2001,In Service,MSC,MSC,MSC,Samsung HI,Liberia,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,,MSC Vidhi,"65,900","68,129",636016433,9238739,25.60,"54,900"
LPG Carrier,2015,In Service,Dorian LPG,Dorian LPG,Dorian LPG,Hyundai Samho HI,Bahamas,Fitted,Diesel 2-Stroke,West Coast North America,,Continental,"47,379","54,490",311000346,9714381,15.00,"12,400"
Fully Cellular Container,2005,In Service,MSC,MSC,MSC,HHIC (Yeongdo),Madeira,Fitted,Diesel 2-Stroke,East Asia,,MSC Busan,"89,954","104,904",255806362,9289087,25.00,"68,666"
Bulk Carrier,2012,In Service,Sinokor Merchant,Sinokor Merchant,Sinokor Merchant,Shanghai Waigaoqiao,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast Africa,,Pacific East,"91,625","176,357",538008226,9522661,11.50,"18,660"
Ro-Ro Freight/Passenger,2007,In Service,Finnlines Plc,Grimaldi Group,Finnlines Plc,Fincantieri Castell,Finland,Fitted,Diesel 4-Stroke,United Kingdom/Continent,Germany,Finnlady,"45,923","9,653",230987000,9336268,25.00,"37,800"
Bulk Carrier,2011,In Service,Meratus Advance Mari,Meratus Advance Mari,Meratus Advance Mari,Sinopacific Dayang,Indonesia,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,MBS Baluran,"31,241","53,297",525125020,9347920,13.00,"9,473"
Multi-Purpose/Heavy Lift Cargo,2011,In Service,Polaris Shipmgmt,Rickmers Holding,HMM,CSC Jinling Shipyard,Marshall Is.,Fitted,Diesel 2-Stroke,Middle East,,Hyundai Antwerp,"23,265","29,827",538004416,9469912,19.40,"15,820"
Bulk Carrier,2009,In Service,HOSCO,HOSCO,North China Shipping,Dalian Shipbuilding,Hong Kong,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Hebei No. 1,"94,710","180,373",477617200,9420564,16.50,"18,660"
Tanker,2019,In Service,Pantheon Tankers,Alpha Tankers,Pantheon Tankers,Daewoo (DSME),Greece,Fitted,Diesel 2-Stroke,East Asia,,Sea Emerald,"156,452","300,636",241673000,9852119,14.50,"24,510"
Bulk Carrier,2015,In Service,Genco Shpg & Trading,Genco Shpg & Trading,Genco Shpg & Trading,Shanghai Waigaoqiao,Marshall Is.,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Genco Resolute,"94,385","181,060",538008119,9698977,15.00,"15,748"
Tanker,2000,In Service,Unknown,Unknown,,NKK (Tsu),Hong Kong,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,Deliver,"78,918","150,284",477113600,9194983,15.20,"16,460"
Bulk Carrier,2009,In Service,Sea Traders,Dynacom,Sea Traders,Sasebo HI,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,Alexandra P,"93,385","181,255",636013778,9495387,14.30,"18,660"
General Cargo,2017,In Service,Naviera Murueta,Naviera Murueta,Naviera Murueta,Ast. Balenciaga,Cyprus,Fitted,Diesel 4-Stroke,United Kingdom/Continent,France,Deun,"3,919","5,750",212580000,9786803,12.50,"2,664"
Fully Cellular Container,2008,In Service,ATR Freight,ATR Freight,,J. J. Sietas,Russia,Fitted,Diesel 4-Stroke,United Kingdom/Continent,Russia,Novik Maria,"9,981","11,200",273257140,9376024,16.50,"8,400"
Tanker,2013,In Service,Yasa Shipping,Yasa Shipping,Ya-Sa Tanker,Hyundai HI (Gunsan),Marshall Is.,Fitted,Diesel 2-Stroke,East Coast North America,Saint Lucia,Yasa Scorpion,"162,044","313,998",538010448,9643271,12.70,"30,423"
Ro-Ro,2017,In Service,Ulusoy Denizyollari,Ulusoy Denizyollari,Ulusoy Denizyollari,Flensburger SB,Turkey,Fitted,Diesel 4-Stroke,Mediterranean / Black Sea,,Ulusoy-16,"32,336","10,310",271050376,9809095,21.00,"19,200"
Ore Carrier,2009,In Service,Shunzan Kaiun,Shunzan Kaiun,,Namura Shipbuilding,Japan,Fitted,Diesel 2-Stroke,Australasia,,Spring Sweetbrier,"113,932","228,531",431781000,9374143,15.10,"22,432"
Fully Cellular Container,2015,In Service,MSC,MSC,MSC,Daewoo-Mangalia,Liberia,Fitted,Diesel 2-Stroke,East Coast South America,,MSC Adonis,"96,424","114,856",636021251,9706310,22.00,"33,480"
Fully Cellular Container,2011,In Service,MSC,MSC,MSC,Daewoo (DSME),Panama,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,MSC Teresa,"143,521","154,185",357891000,9469560,24.10,"72,240"
Fully Cellular Container,2011,In Service,Maersk,A.P. Moller,Maersk,Daewoo (DSME),Danish Int'l,Fitted,Diesel 2-Stroke,East Coast Africa,,Maersk Lebu,"88,237","94,267",219509000,9526930,22.50,"38,880"
Fully Cellular Container,2007,In Service,Maersk,A.P. Moller,Maersk,Odense Lindo,Danish Int'l,Fitted,Hybrid Mech./Elec.,South East Asia,Malaysia,Edith Maersk,"170,794","156,907",220501000,9321548,25.00,"80,080"
Tanker,2010,In Service,SK Shipping,SK Shipping,SK Shipping,Hyundai HI (Ulsan),Panama,Fitted,Diesel 2-Stroke,Middle East,United Arab Emirates,C. Eternity,"160,619","316,427",351720000,9422146,16.00,"29,360"
Bulk Carrier,2010,In Service,Tsakos Shpg & Trdg,Tsakos Group,Tsakos Shpg & Trdg,Daewoo-Mangalia,Greece,Fitted,Diesel 2-Stroke,Australasia,Australia,Merchant Mariner,"94,250","179,701",241721000,9522647,14.00,"18,647"
Chemical & Oil Carrier,2010,In Service,TORM A/S,TORM A/S,TORM A/S,GSI Liwan,Singapore,Fitted,Diesel 2-Stroke,South East Asia,,Torm Alice,"29,283","49,999",563399000,9465966,15.00,"9,960"
LPG Carrier,2020,In Service,Eastern Pacific Shpg,Eastern Pacific Shpg,,Hyundai Mipo,Liberia,Fitted,Diesel 2-Stroke,West Coast South America,,Yukon,"25,167","28,267",636019496,9852145,16.80,"7,860"
Chemical & Oil Carrier,2015,In Service,CDB Leasing,China Dev Bank (CDB),Trafigura Maritime,CSSC Offshore Marine,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast North America,,Marlin Ametrine,"29,683","49,999",538005804,9697234,14.50,"6,484"
Tanker,2003,In Service,Gama Link,Gama Link,Gama Link,Samsung HI,Panama,Fitted,Diesel 2-Stroke,East Coast South America,Colombia,Lucia A,"81,310","159,997",352002382,9228655,15.20,"16,858"
Bulk Carrier,2011,In Service,Nikko Kisen KK,Nissen Kaiun,SwissMarine Pte Ltd,Sanoyas,Panama,Fitted,Diesel 2-Stroke,East Coast Africa,,Bastions,"64,647","119,504",352634000,9431173,16.40,"13,560"
Fully Cellular Container,2019,In Service,Kyosei Kisen KK,Kyosei Kisen KK,Evergreen Marine,Imabari SB Saijo,Panama,Fitted,Diesel 2-Stroke,East Asia,,Ever Globe,"217,600","199,692",354977000,9786841,21.00,"59,300"
Multi-Purpose,2010,In Service,Boomsma Shpg BV,Boomsma Shpg BV,Boomsma Shpg BV,Rousse Shipyard,Netherlands,Fitted,Diesel 4-Stroke,United Kingdom/Continent,,Frisiana,"5,887","8,100",246602000,9385893,14.70,"3,000"
Bulk Carrier,2010,In Service,Doun Kisen,Doun Kisen,,Imabari SB Saijo,Panama,Fitted,Diesel 2-Stroke,East Asia,South Korea,HL Saijo,"104,729","206,291",357873000,9513749,14.50,"18,361"
Ore Carrier,2018,In Service,VLOC Holdings,ICBC,Vale,Yangzi Xinfu SB,Hong Kong,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Ore Shenzhen,"203,326","398,997",477168700,9807695,14.50,"24,200"
Bulk Carrier,2006,In Service,Star Bulk Carriers,Star Bulk Carriers,Star Bulk Carriers,Tsuneishi Zosen,Marshall Is.,Fitted,Diesel 2-Stroke,West Coast North America,,Star Danai,"43,158","82,574",538002637,9401477,14.50,"11,060"
Fully Cellular Container,2014,In Service,SFL Corporation,Fredriksen Group,Maersk,Daewoo (DSME),Marshall Is.,Fitted,Diesel 2-Stroke,West Coast North America,Panama,San Felix,"96,386","113,700",538005733,9698630,22.00,"39,020"
Cruise Ship,2011,In Service,Aida Cruises,Carnival Corporation,Aida Cruises,Meyer Werft,Italy,Fitted,Diesel Electric,United Kingdom/Continent,,AIDAsol,"71,304","7,892",247302900,9490040,22.50,"36,000"
Fully Cellular Container,2012,In Service,Maersk,A.P. Moller,Maersk,Daewoo (DSME),Danish Int'l,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,,Maersk Leon,"89,505","93,907",219516000,9526966,22.50,"45,740"
Fully Cellular Container,2006,In Service,Seaspan Corporation,Atlas Corp (Seaspan),Maersk,Aker Ostsee,Hong Kong,Pending,Diesel 2-Stroke,East Coast North America,United States,Seaspan Loga,"25,360","33,900",477308400,9320001,22.00,"21,770"
Bulk Carrier,2010,In Service,HOSCO,HOSCO,North China Shipping,Dalian Shipbuilding,Hong Kong,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Hebei Universe,"94,710","180,407",477726600,9420590,16.50,"18,663"
Tanker,2018,In Service,Frontline,Fredriksen Group,Frontline,Daewoo (DSME),Marshall Is.,Fitted,Diesel 2-Stroke,East Asia,,Front Princess,"157,142","301,575",538007562,9788904,17.00,"24,990"
Tanker,2012,In Service,Maran Tankers Mgmt,Angelicoussis Group,Maran Tankers Mgmt,Daewoo (DSME),Greece,Fitted,Diesel 2-Stroke,Indian Subcontinent,India,Maran Thetis,"161,969","320,105",241325000,9421427,21.50,"29,262"
Bulk Carrier,2018,In Service,Wooyang Shipping,Wooyang Shipping,Wooyang Shipping,Oshima Shipbuilding,Panama,Fitted,Diesel 2-Stroke,Middle East,,Wooyang Ares,"35,263","62,625",352004352,9826433,14.00,"6,900"
Ore Carrier,2017,In Service,Berge Bulk,Berge Bulk,Berge Bulk,Guangzhou Longxue,Isle of Man,Fitted,Diesel 2-Stroke,East Asia,,Berge Cho Oyu,"134,693","263,166",232005278,9709520,15.00,"18,241"
Ro-Ro Freight/Passenger,2007,In Service,Finnlines Plc,Grimaldi Group,Finnlines Plc,Fincantieri Castell,Sweden,Fitted,Diesel 4-Stroke,United Kingdom/Continent,,Finnswan,"45,923","9,653",265051000,9336256,25.00,"37,800"
Chemical Parcel Tanker,2009,In Service,Unix Line,Mitsui OSK Lines,MOL Chemical Tankers,SK Hiroshima,Panama,Fitted,Diesel 2-Stroke,United Kingdom/Continent,Germany,Ginga Lynx,"16,222","26,040",356466000,9442550,15.50,"7,075"
Ore Carrier,2019,In Service,VLOC Holdings,ICBC,Vale,Yangzi Xinfu SB,Hong Kong,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Ore Ningbo,"203,347","399,402",477269900,9815226,14.50,"32,970"
Tanker,2011,In Service,Formosa Plastics Co,Formosa Plastics,Formosa Plastics Co,I.H.I. (Kure),Liberia,Fitted,Diesel 2-Stroke,South East Asia,,FPMC C Knight,"159,869","301,861",636014907,9419967,16.00,"27,160"
General Cargo,2010,In Service,Tom Worden Schiffs,Tom Worden Schiffs,Tom Worden Schiffs,Hexing Shipyard,Madeira,Fitted,Diesel 4-Stroke,United Kingdom/Continent,,Humber Runner,"2,862","4,114",255802270,9467184,17.00,"2,010"
Ore Carrier,2019,In Service,VLOC Holdings,ICBC,Vale,Beihai Shipyard,Hong Kong,Fitted,Diesel 2-Stroke,East Coast South America,,Ore Zhanjiang,"203,339","399,277",477312500,9807750,14.50,"24,200"
Tanker,2010,In Service,Mitsui OSK Lines,Mitsui OSK Lines,Mitsui OSK Lines,Namura Shipbuilding,Singapore,Fitted,Diesel 2-Stroke,East Asia,Japan,Azumasan,"159,943","302,241",563701000,9397157,15.90,"27,160"
Cruise Ship,2016,In Service,Royal Caribbean Intl,Royal Caribbean,Royal Caribbean Intl,Meyer Werft,Bahamas,Fitted,Diesel Electric,Australasia,,Ovation of the Seas,"168,666","12,000",311000397,9697753,22.00,"64,680"
Product Carrier,2013,In Service,Eletson Corporation,Eletson Corporation,Eletson Corporation,Samsung HI,Liberia,Fitted,Diesel 2-Stroke,East Coast North America,,Haigui,"61,338","114,900",636019141,9505821,15.00,"13,560"
Pass./Car Ferry,2011,In Service,La Meridionale,CMA CGM,La Meridionale,Brodosplit,France,Fitted,Diesel 4-Stroke,Mediterranean / Black Sea,,Piana,"42,180","11,300",228009700,9526332,23.90,"38,400"
Tanker,2002,In Service,Gama Link,Gama Link,Gama Link,Sasebo HI,Palau,Fitted,Diesel 2-Stroke,Middle East,,James II,"79,525","149,995",511100897,9253909,14.00,"16,858"
Fully Cellular Container,2009,In Service,FESCO,FESCO,FESCO,Taizhou Kouan SB,Russia,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Ipanema,"21,018","25,884",273251960,9433145,20.50,"15,820"
Bulk Carrier,2016,In Service,Diana Shipping,Diana Shipping,Diana Shipping,I-S Shipyard,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast Africa,,DSI Drammen,"35,832","63,507",538010565,9775141,12.50,"7,560"
Multi-Purpose/Heavy Lift Cargo,2010,In Service,Spliethoff,Spliethoff,Spliethoff,Hudong Zhonghua,Netherlands,Fitted,Diesel 4-Stroke,West Coast North America,Panama,Palmgracht,"17,634","19,413",245964000,9424558,17.50,"9,800"
Tanker,2019,In Service,Minerva Marine,Minerva Marine,Minerva Marine,Samsung HI,Greece,Fitted,Diesel 2-Stroke,East Coast Africa,,Minerva Kallisto,"62,372","112,802",241689000,9853008,14.50,"13,500"
Bulk Carrier,2014,In Service,ArcelorMittal Shpg,ArcelorMittal,ArcelorMittal Shpg,Hudong Zhonghua,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast North America,Canada,AM Zenica,"41,254","76,089",538005605,9669342,14.50,"10,000"
Fully Cellular Container,2008,In Service,Maersk,A.P. Moller,Maersk,Odense Lindo,Danish Int'l,Fitted,Hybrid Mech./Elec.,East Asia,People's Republic Of China,Eugen Maersk,"170,794","174,239",220503000,9321550,25.00,"80,080"
Chemical Parcel Tanker,2009,In Service,Arne Blystad AS,Arne Blystad AS,Navix Maritime,Samho Shipbuilding,Malta,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,Songa Opal,"11,259","17,588",249923000,9473913,14.00,"4,440"
Tanker,2017,In Service,K-Line,K-Line,K-Line,Nantong COSCO KHI,Japan,Fitted,Diesel 2-Stroke,Indian Subcontinent,,Kisogawa,"161,486","312,020",431114000,9805087,15.00,"21,670"
LPG Carrier,2002,Idle,Soechi Lines,Soechi Lines,,Kawasaki HI Sakaide,Indonesia,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,Prima Energy,"46,506","53,556",525119194,9232515,17.00,"13,900"
Tanker,2011,In Service,Cardiff Marine,Cardiff Marine,Cardiff Marine,Samsung HI,Malta,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,,Belmar,"61,332","115,708",256377000,9516959,15.00,"14,400"
Fully Cellular Container,2005,In Service,MSC,MSC,MSC,Hyundai Samho HI,Liberia,Fitted,Diesel 2-Stroke,United Kingdom/Continent,United Kingdom,MSC Anya,"54,771","66,821",636016424,9297864,25.50,"51,480"
Multi-Purpose,2012,In Service,Pacific Carriers,Pacific Carriers,PACC Container Line,Zhejiang Hongguan,Singapore,Fitted,Diesel 2-Stroke,East Coast North America,,PAC Seginus,"21,094","26,470",563103900,9443358,15.00,"26,010"
Bulk Carrier,2015,In Service,Star Bulk Carriers,Star Bulk Carriers,Star Bulk Carriers,Nantong COSCO KHI,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,Gargantua,"107,761","209,529",636020164,9712682,16.40,"15,250"
Bulk Carrier,2012,In Service,Marmaras Navigation,Marmaras Navigation,Marmaras Navigation,New Times SB,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,Koundouros,"92,079","175,247",636017576,9476642,14.00,"18,673"
Product Carrier,2016,In Service,Sinokor Merchant,Sinokor Merchant,Sinokor Merchant,Daehan Shipbuilding,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast Africa,,Pacific A. Dorodchi,"62,397","109,999",538006921,9732266,14.00,"11,150"
Tanker,2003,Idle,Wealth Marine,Wealth Marine,,Bohai Shipbuilding,Liberia,Fitted,Diesel 2-Stroke,East Coast North America,Trinidad & Tobago,Athenas,"84,855","159,149",636019290,9259721,15.20,"16,860"
Chemical Parcel Tanker,2009,In Service,Arne Blystad AS,Arne Blystad AS,Nat Chem Carriers,Fukuoka SB (Fukuoka),Marshall Is.,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,Songa Winds,"11,773","19,954",538004885,9416109,14.50,"6,225"
Reefer,2017,In Service,Nissen Kaiun,Nissen Kaiun,Star Reefers UK,Shikoku Dock.,Panama,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Spain,Star Spirit,"17,164","16,727",355286000,9765847,22.50,"15,300"
Product Carrier,2010,In Service,TORM A/S,TORM A/S,TORM A/S,Hyundai Samho HI,Singapore,Fitted,Diesel 2-Stroke,South East Asia,Singapore,Torm Gabriella,"65,830","119,456",563216400,9428994,15.00,"19,620"
Tanker,2020,In Service,Okeanis Eco Tankers,Kyklades Maritime,Okeanis Eco Tankers,Hyundai HI (Ulsan),Marshall Is.,Fitted,Diesel 2-Stroke,East Coast South America,,Nissos Anafi,"160,457","318,953",538008310,9856086,14.40,"24,500"
Tanker,2015,In Service,COSCO Shpg Energy,China COSCO Shipping,COSCO Shpg Energy,Dalian COSCO KHI,Hong Kong,Fitted,Diesel 2-Stroke,East Coast North America,,Cosflying Lake,"159,819","310,421",477967900,9698771,15.50,"25,190"
Ore Carrier,2011,In Service,Zodiac Maritime,Zodiac Maritime,,STX SB (Jinhae),United Kingdom,Fitted,Diesel 2-Stroke,South East Asia,,Wugang Haoyun,"153,604","297,980",235089901,9510474,14.50,"16,660"
Product Carrier,2016,In Service,Hafnia Limited,BW Group,Hafnia Limited,SPP Sacheon SY,Singapore,Fitted,Diesel 2-Stroke,West Coast North America,United States,Hafnia Pride,"42,300","74,997",563154300,9737747,14.00,"9,660"
Bulk Carrier,2020,In Service,Ionic Holdings Inc,Ionic Holdings Inc,Ionic Holdings Inc,Imabari SB Marugame,Marshall Is.,Fitted,Diesel 2-Stroke,West Coast Africa,,Ionic Kallirhoe,"45,366","83,920",538008850,9796195,13.50,"9,000"
Fully Cellular Container,2008,In Service,MSC,MSC,MSC,CSBC (Kaohsiung),Liberia,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,,MSC Uberty VIII,"90,507","103,614",636013689,9337444,25.00,"68,640"
Bulk Carrier,2010,In Service,Oceanus Schiffahrts,Oceanus Schiffahrts,Oceanus Schiffahrts,Daewoo (DSME),Liberia,Fitted,Diesel 2-Stroke,East Coast North America,Canada,Europe,"94,250","179,448",636092098,9522087,11.00,"18,660"
Fully Cellular Container,2005,In Service,JR Shipping BV,JR Shipping BV,CMA CGM,Daewoo-Mangalia,Netherlands,Fitted,Diesel 4-Stroke,United Kingdom/Continent,Iceland,Endurance,"7,650","9,450",244357000,9312200,18.00,"7,200"
Fully Cellular Container,2007,In Service,MSC,MSC,MSC,Koyo Dock,Madeira,Pending,Diesel 2-Stroke,Mediterranean / Black Sea,,MSC Dubai VII,"72,807","71,876",255975000,9444285,25.50,"62,920"
LPG Carrier,2015,In Service,Dorian LPG,Dorian LPG,Dorian LPG,Hyundai Samho HI,Bahamas,Fitted,Diesel 2-Stroke,Indian Subcontinent,,Constitution,"47,379","54,490",311000379,9706499,15.00,"12,400"
Fully Cellular Container,2019,In Service,COSCO Shipping Lines,China COSCO Shipping,COSCO Shipping Lines,Jiangnan SY Group,Hong Kong,Fitted,Diesel 2-Stroke,East Coast Africa,,COSCO Shipping Star,"215,553","197,976",477318200,9795658,22.00,"57,900"
Product Carrier,2016,In Service,Scorpio Tankers,Scorpio Group,Scorpio Tankers,Daehan Shipbuilding,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast North America,,STI Jermyn,"62,615","109,999",538006357,9722596,14.50,"11,200"
Cruise Ship,1996,In Service,Royal Caribbean Intl,Royal Caribbean,Royal Caribbean Intl,Kvaerner Masa,Bahamas,Fitted,Diesel Electric,East Coast North America,,Grandeur of the Seas,"73,817","7,000",311315000,9102978,22.50,"50,198"
Bulk Carrier,2014,In Service,Star Bulk Carriers,Star Bulk Carriers,Star Bulk Carriers,JMU Ariake Shipyard,Marshall Is.,Fitted,Diesel 2-Stroke,South East Asia,Malaysia,Peloreus,"93,297","182,496",538005739,9702534,17.30,"16,040"
Tanker,2019,In Service,MOL Energia,Mitsui OSK Lines,MOL Energia,JMU Ariake Shipyard,Singapore,Fitted,Diesel 2-Stroke,East Coast North America,,Phoenix Jamnagar,"160,857","311,798",563080600,9828962,15.50,"22,800"
Tanker,2009,In Service,Onn Denizcilik,Onn Denizcilik,Onn Denizcilik,Hyundai Samho HI,Panama,Fitted,Diesel 2-Stroke,Middle East,,Ocean Thunder,"84,908","164,737",352003620,9416422,12.00,"18,660"
Bulk Carrier,2021,In Service,Tomini Shipping,Tomini Shipping,Alpina Chartering,Yangzi Xinfu SB,Liberia,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Tomini K12,"107,720","208,286",636019511,9860984,11.00,"15,131"
Bulk Carrier,2013,In Service,Dongguan Haichang,Haichang Industry,Dongguan Haichang,Zhejiang Yangfan,China P.R.,Pending,Diesel 2-Stroke,South East Asia,Philippines,Xin Dong Guan 15,"41,612","76,201",414610000,9661091,14.20,"8,753"
Tanker,2010,In Service,Great Eastern Shpg,Great Eastern Shpg,Great Eastern Shpg,Samsung HI,India,Fitted,Diesel 2-Stroke,Middle East,,Jag Leena,"81,427","157,672",419001245,9516105,15.00,"18,660"
Bulk Carrier,2018,In Service,Golden Ocean Group,Fredriksen Group,Golden Ocean Group,New Times SB,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast North America,,Golden Incus,"93,908","180,512",538007734,9743198,15.00,"15,200"
Pass./Car Ferry,1996,In Service,DFDS Iberia,DFDS Iberia,DFDS Iberia,Orskovs Staal.,Cyprus,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Gibraltar,Kattegat,"14,221","3,790",209405000,9112765,21.00,"8,611"
Chip Carrier,2007,In Service,Cygnet Bulk Carriers,Mitsui OSK Lines,Cygnet Bulk Carriers,Tsuneishi Zosen,Japan,Fitted,Diesel 2-Stroke,East Asia,Japan,Chuetsu Spirit,"39,895","49,547",431495000,9344057,14.80,"8,456"
Fully Cellular Container,2011,In Service,Maersk,A.P. Moller,Maersk,Daewoo (DSME),Danish Int'l,Fitted,Diesel 2-Stroke,East Asia,,Maersk Lima,"88,237","94,267",219526000,9526875,22.50,"38,880"
Chemical Bulk Tanker,2006,In Service,Ocean Wave Man,Ocean Wave Man,Ocean Wave Man,3. Maj Brod.,Bangladesh,Fitted,Diesel 4-Stroke,South East Asia,Malaysia,Samuda,"16,913","24,025",405000415,9327102,11.00,"7,000"
Bulk Carrier,2014,In Service,STC Shipping Pte Ltd,Century Tokyo,MUR Shipping BV,Shin Kasado Dock,Bahamas,Fitted,Diesel 2-Stroke,East Coast South America,Brazil,African Lunde,"34,769","61,320",311000841,9713961,16.00,"8,260"
Pass./Car Ferry,2024,In Service,Grandi Navi Veloci,MSC,Grandi Navi Veloci,GSI Nansha,Italy,Fitted,Diesel 4-Stroke,Mediterranean / Black Sea,Italy,GNV Polaris,"45,909","9,568",247486400,9948592,25.00,"41,400"
Fully Cellular Container,2018,In Service,RCL,RCL,RCL,Jiangsu New YZJ,Thailand,Fitted,Diesel 2-Stroke,Middle East,,Jaru Bhum,"17,956","20,026",567571000,9796274,13.00,"10,857"
Fully Cellular Container,2017,In Service,Seaspan Corporation,Atlas Corp (Seaspan),MSC,HHIC-Phil (Subic SY),Madeira,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,MSC Shuba B,"113,112","134,093",255806027,9778076,22.00,"33,848"
Cruise Ship,1997,In Service,Royal Caribbean Intl,Royal Caribbean,Royal Caribbean Intl,Kvaerner Masa,Bahamas,Fitted,Diesel Electric,East Coast North America,,Enchantment of the Seas,"82,910","7,727",311733000,9111802,22.30,"50,396"
Pure Car Carrier,2016,In Service,OMC Shipping,Mitsui & Co,Wallenius Wilhelmsen,Hyundai Samho HI,Singapore,Fitted,Diesel 2-Stroke,East Coast North America,,Themis,"75,283","24,240",563220000,9722314,19.30,"14,000"
Tanker,2017,In Service,Maran Tankers Mgmt,Angelicoussis Group,COSCO Shpg Energy,Daewoo (DSME),Greece,Fitted,Diesel 2-Stroke,East Asia,,Maran Ajax,"161,287","319,398",241519000,9790270,15.30,"25,330"
Tanker,2009,In Service,Mitsui OSK Lines,Mitsui OSK Lines,UNIPEC,I.H.I. (Kure),Panama,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Pacific Voyager,"159,943","302,290",357918000,9362889,15.80,"27,160"
Chemical & Oil Carrier,2020,In Service,KSS Line,KSS Line,KSS Line,Samsung HI,Panama,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Harmony Chemist,"30,087","49,999",352019000,9859193,14.40,"6,875"
Tanker,2017,In Service,Global Energy Mtime,Global Energy Mtime,Trafigura Maritime,JMU Ariake Shipyard,Panama,Fitted,Diesel 2-Stroke,East Coast North America,,Gem No. 2,"156,501","302,783",354264000,9735373,15.80,"24,330"
Tanker,2018,In Service,Dynacom Tankers Mgmt,Dynacom,Dynacom Tankers Mgmt,New Times SB,Malta,Fitted,Diesel 2-Stroke,South East Asia,Singapore,Samos,"82,605","149,989",248113000,9772345,14.50,"15,100"
